from_city;from_district;to_city;to_district;migration
KAHRAMANMARAS;GOKSUN;KAHRAMANMARAS;KAHRAMANMARAS MERKEZ;7968
SIVAS;KANGAL;SIVAS;SIVAS MERKEZ;7962
KUTAHYA;ASLANAPA;KUTAHYA;KUTAHYA MERKEZ;7954
KAYSERI;SARIZ;KAYSERI;MELIKGAZI;7941
ISTANBUL;KADIKOY;ISTANBUL;MALTEPE;7897
KONYA;BOZKIR;KONYA;MERAM;7895
BATMAN;HASANKEYF;BATMAN;BATMAN MERKEZ;7832
IZMIR;KONAK;IZMIR;BALCOVA;7818
BALIKESIR;DURSUNBEY;BALIKESIR;BALIKESIR MERKEZ;7779
DIYARBAKIR;YENISEHIR;DIYARBAKIR;BAGLAR;7773
GAZIANTEP;ARABAN;GAZIANTEP;SAHINBEY;7697
SAKARYA;ADAPAZARI;SAKARYA;ERENLER;7693
ERZURUM;PASINLER;ERZURUM;PALANDOKEN;7683
USAK;SIVASLI;USAK;USAK MERKEZ;7668
BURSA;YENISEHIR;BURSA;OSMANGAZI;7652
ANKARA;CAMLIDERE;ANKARA;ALTINDAG;7629
ESKISEHIR;CIFTELER;ESKISEHIR;ODUNPAZARI;7622
ADANA;IMAMOGLU;ADANA;YUREGIR;7620
KAYSERI;TALAS;KAYSERI;MELIKGAZI;7591
ANTALYA;SERIK;ANTALYA;KEPEZ;7583
KONYA;HADIM;KONYA;MERAM;7577
ADANA;KOZAN;ADANA;SEYHAN;7560
KOCAELI;KARTEPE;KOCAELI;IZMIT;7517
BALIKESIR;BALYA;BALIKESIR;BALIKESIR MERKEZ;7455
SAKARYA;HENDEK;SAKARYA;ADAPAZARI;7383
TEKIRDAG;MALKARA;TEKIRDAG;TEKIRDAG MERKEZ;7369
ISTANBUL;SILE;ISTANBUL;UMRANIYE;7320
MALATYA;DOGANSEHIR;MALATYA;MALATYA MERKEZ;7281
SIIRT;ERUH;SIIRT;SIIRT MERKEZ;7257
DIYARBAKIR;DICLE;DIYARBAKIR;YENISEHIR;7255
GAZIANTEP;YAVUZELI;GAZIANTEP;SAHINBEY;7248
ERZURUM;AZIZIYE;ERZURUM;PALANDOKEN;7232
BOLU;MUDURNU;BOLU;BOLU MERKEZ;7205
NEVSEHIR;GULSEHIR;NEVSEHIR;NEVSEHIR MERKEZ;7195
BURSA;MUDANYA;BURSA;OSMANGAZI;7184
DIYARBAKIR;DICLE;DIYARBAKIR;KAYAPINAR;7179
AYDIN;SOKE;AYDIN;KUSADASI;7162
DENIZLI;CAMELI;DENIZLI;DENIZLI MERKEZ;7151
ANKARA;KIZILCAHAMAM;ANKARA;SINCAN;7093
KONYA;DOGANHISAR;KONYA;SELCUKLU;7086
AFYONKARAHISAR;IHSANIYE;AFYONKARAHISAR;AFYONKARAHISAR MERKEZ;7038
MARDIN;MIDYAT;MARDIN;NUSAYBIN;7016
DIYARBAKIR;BAGLAR;DIYARBAKIR;KAYAPINAR;6972
RIZE;GUNEYSU;RIZE;RIZE MERKEZ;6968
ANTALYA;AKSU;ANTALYA;MURATPASA;6931
ADIYAMAN;KAHTA;ADIYAMAN;ADIYAMAN MERKEZ;6924
DIYARBAKIR;HAZRO;DIYARBAKIR;BAGLAR;6923
ELAZIG;BASKIL;ELAZIG;ELAZIG MERKEZ;6898
ANKARA;KAZAN;ANKARA;KECIOREN;6896
BINGOL;SOLHAN;BINGOL;BINGOL MERKEZ;6886
ANKARA;CAMLIDERE;ANKARA;KECIOREN;6843
DIYARBAKIR;KULP;DIYARBAKIR;KAYAPINAR;6822
ISPARTA;SUTCULER;ISPARTA;ISPARTA MERKEZ;6816
ZONGULDAK;CAYCUMA;ZONGULDAK;ZONGULDAK MERKEZ;6770
MARDIN;YESILLI;MARDIN;KIZILTEPE;6756
DIYARBAKIR;YENISEHIR;DIYARBAKIR;KAYAPINAR;6748
KONYA;BEYSEHIR;KONYA;SELCUKLU;6741
GAZIANTEP;ISLAHIYE;GAZIANTEP;SAHINBEY;6737
EDIRNE;LALAPASA;EDIRNE;EDIRNE MERKEZ;6732
ADIYAMAN;SAMSAT;ADIYAMAN;ADIYAMAN MERKEZ;6709
SAMSUN;CARSAMBA;SAMSUN;CANIK;6692
MERSIN;TOROSLAR;MERSIN;YENISEHIR;6670
