from_city;from_district;to_city;to_district;migration
KAYSERI;PINARBASI/KAYSERI;KAYSERI;SARIZ;75
BURDUR;KEMER/BURDUR;BURDUR;KARAMANLI;75
KARABUK;KARABUK MERKEZ;KARABUK;YENICE/KARABUK;75
ISTANBUL;CATALCA;ISTANBUL;BEYKOZ;75
IZMIR;KARSIYAKA;IZMIR;ODEMIS;75
IZMIR;KARSIYAKA;IZMIR;KEMALPASA;75
ARTVIN;ARDANUC;ARTVIN;BORCKA;75
KASTAMONU;DEVREKANI;KASTAMONU;BOZKURT/KASTAMONU;75
TRABZON;AKCAABAT;TRABZON;BESIKDUZU;75
SIVAS;SARKISLA;SIVAS;ALTINYAYLA/SIVAS;75
ZONGULDAK;EREGLI/ZONGULDAK;ZONGULDAK;CAYCUMA;75
TOKAT;ARTOVA;TOKAT;PAZAR/TOKAT;75
VAN;VAN MERKEZ;VAN;CALDIRAN;75
USAK;ULUBEY/USAK;USAK;BANAZ;74
AYDIN;YENIPAZAR/AYDIN;AYDIN;KUYUCAK;74
SIVAS;IMRANLI;SIVAS;DIVRIGI;74
BALIKESIR;BIGADIC;BALIKESIR;DURSUNBEY;74
BITLIS;TATVAN;BITLIS;AHLAT;74
AFYONKARAHISAR;COBANLAR;AFYONKARAHISAR;BOLVADIN;74
NIGDE;BOR;NIGDE;ULUKISLA;74
ANKARA;BALA;ANKARA;KAZAN;74
MUGLA;ULA;MUGLA;DATCA;74
DUZCE;GOLYAKA;DUZCE;CILIMLI;74
SAKARYA;KAYNARCA;SAKARYA;SOGUTLU;74
KONYA;SEYDISEHIR;KONYA;BOZKIR;74
KONYA;HADIM;KONYA;TASKENT;74
SAMSUN;BAFRA;SAMSUN;TEKKEKOY;74
KIRIKKALE;BALISEYH;KIRIKKALE;BAHSILI;74
IZMIR;SEFERIHISAR;IZMIR;TORBALI;74
ISTANBUL;BUYUKCEKMECE;ISTANBUL;BEYOGLU;74
ISTANBUL;SULTANBEYLI;ISTANBUL;PENDIK;74
GAZIANTEP;SEHITKAMIL;GAZIANTEP;ARABAN;74
ERZURUM;UZUNDERE;ERZURUM;TORTUM;74
IZMIR;MENEMEN;IZMIR;MENDERES;74
IZMIR;MENEMEN;IZMIR;NARLIDERE;74
ISTANBUL;SULTANGAZI;ISTANBUL;BAHCELIEVLER;74
DENIZLI;HONAZ;DENIZLI;SARAYKOY;74
KIRSEHIR;KIRSEHIR MERKEZ;KIRSEHIR;BOZTEPE;74
IZMIR;BALCOVA;IZMIR;TORBALI;74
SAKARYA;KAYNARCA;SAKARYA;AKYAZI;73
MANISA;GORDES;MANISA;GOLMARMARA;73
IZMIR;BERGAMA;IZMIR;FOCA;73
ISTANBUL;BAGCILAR;ISTANBUL;SISLI;73
KONYA;KADINHANI;KONYA;BEYSEHIR;73
NIGDE;NIGDE MERKEZ;NIGDE;CAMARDI;73
KONYA;KARATAY;KONYA;ALTINEKIN;73
ISTANBUL;KARTAL;ISTANBUL;KUCUKCEKMECE;73
ISTANBUL;SARIYER;ISTANBUL;BAYRAMPASA;73
KONYA;AKSEHIR;KONYA;EREGLI/KONYA;73
KONYA;CUMRA;KONYA;EREGLI/KONYA;73
AFYONKARAHISAR;SULTANDAGI;AFYONKARAHISAR;EMIRDAG;73
AFYONKARAHISAR;AFYONKARAHISAR MERKEZ;AFYONKARAHISAR;COBANLAR;73
TRABZON;AKCAABAT;TRABZON;DUZKOY;73
BATMAN;BATMAN MERKEZ;BATMAN;HASANKEYF;73
SINOP;SARAYDUZU;SINOP;DURAGAN;73
VAN;VAN MERKEZ;VAN;GEVAS;73
BURSA;MUDANYA;BURSA;MUSTAFA K.PASA;73
ANTALYA;SERIK;ANTALYA;KORKUTELI;73
ISTANBUL;ARNAVUTKOY;ISTANBUL;BASAKSEHIR;73
CANAKKALE;BIGA;CANAKKALE;AYVACIK/CANAKKALE;73
DIYARBAKIR;SILVAN;DIYARBAKIR;KULP;73
ANTALYA;AKSEKI;ANTALYA;AKSU;73
ERZINCAN;TERCAN;ERZINCAN;UZUMLU;72
YOZGAT;CEKEREK;YOZGAT;AKDAGMADENI;72
YOZGAT;CEKEREK;YOZGAT;BOGAZLIYAN;72
DENIZLI;BEYAGAC;DENIZLI;KALE/DENIZLI;72
ISPARTA;EGIRDIR;ISPARTA;AKSU;72
TRABZON;AKCAABAT;TRABZON;MACKA;72
USAK;KARAHALLI;USAK;BANAZ;72
DENIZLI;SARAYKOY;DENIZLI;BABADAG;72
ERZURUM;HINIS;ERZURUM;KARACOBAN;72
SIVAS;DIVRIGI;SIVAS;KANGAL;72
GIRESUN;ALUCRA;GIRESUN;BULANCAK;72
DENIZLI;BEKILLI;DENIZLI;CIVRIL;72
ADANA;SAIMBEYLI;ADANA;FEKE;72
ANKARA;KIZILCAHAMAM;ANKARA;POLATLI;72
KONYA;EREGLI/KONYA;KONYA;AKSEHIR;72
ADANA;KARATAS;ADANA;POZANTI;72
ADANA;KARATAS;ADANA;YUMURTALIK;72
ISTANBUL;USKUDAR;ISTANBUL;ADALAR;72
ADANA;KOZAN;ADANA;KARATAS;72
ISTANBUL;CEKMEKOY;ISTANBUL;BAKIRKOY;72
KAHRAMANMARAS;TURKOGLU;KAHRAMANMARAS;GOKSUN;72
ANKARA;CANKAYA;ANKARA;POLATLI;72
KAHRAMANMARAS;EKINOZU;KAHRAMANMARAS;AFSIN;72
ISTANBUL;KADIKOY;ISTANBUL;ESENLER;72
SAKARYA;KOCAALI;SAKARYA;AKYAZI;72
KUTAHYA;SIMAV;KUTAHYA;PAZARLAR;72
KONYA;YALIHUYUK;KONYA;KARATAY;72
KONYA;CUMRA;KONYA;GUNEYSINIR;72
CANKIRI;YAPRAKLI;CANKIRI;ORTA;72
MALATYA;ARAPGIR;MALATYA;YESILYURT/MALATYA;72
KUTAHYA;PAZARLAR;KUTAHYA;KUTAHYA MERKEZ;72
SAKARYA;ARIFIYE;SAKARYA;AKYAZI;72
ANTALYA;MANAVGAT;ANTALYA;DOSEMEALTI;72
AYDIN;BOZDOGAN;AYDIN;KOCARLI;72
BITLIS;BITLIS MERKEZ;BITLIS;ADILCEVAZ;72
CANAKKALE;GELIBOLU;CANAKKALE;BIGA;72
CANKIRI;BAYRAMOREN;CANKIRI;CANKIRI MERKEZ;72
SAMSUN;CARSAMBA;SAMSUN;VEZIRKOPRU;71
BILECIK;GOLPAZARI;BILECIK;SOGUT;71
CANAKKALE;AYVACIK/CANAKKALE;CANAKKALE;BIGA;71
BALIKESIR;SINDIRGI;BALIKESIR;SUSURLUK;71
ORDU;CAYBASI;ORDU;FATSA;71
MUS;BULANIK;MUS;KORKUT;71
MUS;HASKOY;MUS;KORKUT;71
ORDU;GURGENTEPE;ORDU;GOLKOY;71
SAKARYA;KARAPURCEK;SAKARYA;ARIFIYE;71
ANKARA;GUDUL;ANKARA;KAZAN;71
ADIYAMAN;KAHTA;ADIYAMAN;SAMSAT;71
MUGLA;DATCA;MUGLA;MILAS;71
ADIYAMAN;ADIYAMAN MERKEZ;ADIYAMAN;CELIKHAN;71
ANKARA;ELMADAG;ANKARA;GOLBASI/ANKARA;71
DENIZLI;CAL;DENIZLI;BULDAN;71
ISPARTA;SARKIKARAAGAC;ISPARTA;ATABEY;71
ESKISEHIR;ODUNPAZARI;ESKISEHIR;SIVRIHISAR;71
ERZURUM;OLTU;ERZURUM;NARMAN;71
HATAY;ISKENDERUN;HATAY;HASSA;71
KASTAMONU;INEBOLU;KASTAMONU;TASKOPRU;71
ISTANBUL;BUYUKCEKMECE;ISTANBUL;ARNAVUTKOY;71
KASTAMONU;SENPAZAR;KASTAMONU;KASTAMONU MERKEZ;71
ISTANBUL;KUCUKCEKMECE;ISTANBUL;TUZLA;71
IZMIR;TIRE;IZMIR;CESME;71
KAYSERI;MELIKGAZI;KAYSERI;DEVELI;71
ISTANBUL;SILE;ISTANBUL;AVCILAR;71
IZMIR;KIRAZ;IZMIR;SEFERIHISAR;71
ISTANBUL;KAGITHANE;ISTANBUL;SILIVRI;71
IZMIR;ODEMIS;IZMIR;SEFERIHISAR;71
ISTANBUL;ARNAVUTKOY;ISTANBUL;SARIYER;70
ISTANBUL;BUYUKCEKMECE;ISTANBUL;KAGITHANE;70
ISTANBUL;CEKMEKOY;ISTANBUL;FATIH;70
KAYSERI;DEVELI;KAYSERI;YESILHISAR;70
ERZINCAN;ERZINCAN MERKEZ;ERZINCAN;REFAHIYE;70
ISTANBUL;AVCILAR;ISTANBUL;ARNAVUTKOY;70
ISTANBUL;SULTANGAZI;ISTANBUL;KAGITHANE;70
DUZCE;YIGILCA;DUZCE;KAYNASLI;70
KONYA;BEYSEHIR;KONYA;AKSEHIR;70
KASTAMONU;DOGANYURT;KASTAMONU;KASTAMONU MERKEZ;70
AFYONKARAHISAR;SUHUT;AFYONKARAHISAR;EMIRDAG;70
OSMANIYE;HASANBEYLI;OSMANIYE;DUZICI;70
MARDIN;NUSAYBIN;MARDIN;OMERLI;70
BALIKESIR;DURSUNBEY;BALIKESIR;MANYAS;70
AYDIN;SULTANHISAR;AYDIN;GERMENCIK;70
SIVAS;ZARA;SIVAS;SUSEHRI;70
MUGLA;ULA;MUGLA;BODRUM;70
TRABZON;MACKA;TRABZON;DUZKOY;70
MANISA;SARIGOL;MANISA;TURGUTLU;70
SANLIURFA;SIVEREK;SANLIURFA;BIRECIK;70
KONYA;KARATAY;KONYA;KULU;70
SIVAS;ULAS;SIVAS;KANGAL;70
RIZE;RIZE MERKEZ;RIZE;ARDESEN;70
ORDU;MESUDIYE;ORDU;UNYE;70
BURDUR;BURDUR MERKEZ;BURDUR;KARAMANLI;69
BATMAN;SASON;BATMAN;BESIRI;69
VAN;SARAY/VAN;VAN;EDREMIT/VAN;69
BALIKESIR;MANYAS;BALIKESIR;BURHANIYE;69
BALIKESIR;MARMARA;BALIKESIR;ERDEK;69
SIVAS;KANGAL;SIVAS;SARKISLA;69
YOZGAT;AYDINCIK/YOZGAT;YOZGAT;CEKEREK;69
ANTALYA;KAS;ANTALYA;SERIK;69
ISTANBUL;KUCUKCEKMECE;ISTANBUL;ATASEHIR;69
ISTANBUL;BAGCILAR;ISTANBUL;SANCAKTEPE;69
ESKISEHIR;MIHALICCIK;ESKISEHIR;SIVRIHISAR;69
IZMIR;MENEMEN;IZMIR;BERGAMA;69
ISTANBUL;KARTAL;ISTANBUL;KAGITHANE;69
DENIZLI;ACIPAYAM;DENIZLI;BULDAN;69
GUMUSHANE;TORUL;GUMUSHANE;SIRAN;69
KONYA;ILGIN;KONYA;KULU;69
SAKARYA;SERDIVAN;SAKARYA;FERIZLI;69
ORDU;AKKUS;ORDU;IKIZCE;69
MUS;BULANIK;MUS;VARTO;69
MANISA;SELENDI;MANISA;AHMETLI;69
MALATYA;ARGUVAN;MALATYA;YESILYURT/MALATYA;68
SAKARYA;TARAKLI;SAKARYA;ARIFIYE;68
IZMIR;GUZELBAHCE;IZMIR;BAYRAKLI;68
IZMIR;KEMALPASA;IZMIR;ALIAGA;68
SAMSUN;KAVAK;SAMSUN;ASARCIK;68
ISTANBUL;MALTEPE;ISTANBUL;BUYUKCEKMECE;68
MUGLA;KOYCEGIZ;MUGLA;YATAGAN;68
MARDIN;NUSAYBIN;MARDIN;DARGECIT;68
ISTANBUL;BEYKOZ;ISTANBUL;SILIVRI;68
KAYSERI;DEVELI;KAYSERI;INCESU;68
ISTANBUL;UMRANIYE;ISTANBUL;BAHCELIEVLER;68
ISTANBUL;MALTEPE;ISTANBUL;BEYOGLU;68
KUTAHYA;GEDIZ;KUTAHYA;EMET;68
KIRSEHIR;CICEKDAGI;KIRSEHIR;AKCAKENT;68
MANISA;KULA;MANISA;AHMETLI;68
MANISA;KULA;MANISA;AKHISAR;68
ISTANBUL;ESENLER;ISTANBUL;UMRANIYE;68
ORDU;IKIZCE;ORDU;ORDU MERKEZ;68
IZMIR;BALCOVA;IZMIR;MENDERES;68
SAKARYA;ADAPAZARI;SAKARYA;KARAPURCEK;68
MUS;MUS MERKEZ;MUS;KORKUT;68
SAKARYA;SOGUTLU;SAKARYA;KARASU;68
YOZGAT;CAYIRALAN;YOZGAT;AKDAGMADENI;68
TRABZON;MACKA;TRABZON;SURMENE;68
ADANA;POZANTI;ADANA;KARAISALI;68
TEKIRDAG;HAYRABOLU;TEKIRDAG;SARKOY;68
BURDUR;TEFENNI;BURDUR;CAVDIR;68
AYDIN;YENIPAZAR/AYDIN;AYDIN;SOKE;68
AYDIN;KUYUCAK;AYDIN;SULTANHISAR;68
SIIRT;SIIRT MERKEZ;SIIRT;PERVARI;68
ANTALYA;MURATPASA;ANTALYA;KAS;68
YOZGAT;AYDINCIK/YOZGAT;YOZGAT;SORGUN;68
DENIZLI;BEYAGAC;DENIZLI;TAVAS;68
AYDIN;CINE;AYDIN;BOZDOGAN;68
GIRESUN;KESAP;GIRESUN;ESPIYE;68
ESKISEHIR;TEPEBASI;ESKISEHIR;SARICAKAYA;68
ELAZIG;AGIN;ELAZIG;KEBAN;68
DIYARBAKIR;CERMIK;DIYARBAKIR;CUNGUS;68
ISPARTA;ISPARTA MERKEZ;ISPARTA;KECIBORLU;67
BURSA;BUYUKORHAN;BURSA;ORHANGAZI;67
ANTALYA;KONYAALTI;ANTALYA;SERIK;67
ISPARTA;SENIRKENT;ISPARTA;KECIBORLU;67
ANTALYA;SERIK;ANTALYA;FINIKE;67
ANTALYA;IBRADI;ANTALYA;AKSEKI;67
CORUM;MECITOZU;CORUM;SUNGURLU;67
CANAKKALE;YENICE/CANAKKALE;CANAKKALE;GELIBOLU;67
ANTALYA;FINIKE;ANTALYA;KEMER/ANTALYA;67
ELAZIG;PALU;ELAZIG;MADEN;67
ISTANBUL;MALTEPE;ISTANBUL;KAGITHANE;67
ISTANBUL;BAYRAMPASA;ISTANBUL;SARIYER;67
KIRIKKALE;KESKIN;KIRIKKALE;CELEBI;67
KASTAMONU;ABANA;KASTAMONU;BOZKURT/KASTAMONU;67
IZMIR;BERGAMA;IZMIR;KEMALPASA;67
ISTANBUL;SARIYER;ISTANBUL;SULTANBEYLI;67
MALATYA;PUTURGE;MALATYA;DOGANYOL;67
MANISA;TURGUTLU;MANISA;ALASEHIR;67
KUTAHYA;SIMAV;KUTAHYA;SAPHANE;67
TRABZON;ARAKLI;TRABZON;YOMRA;67
TUNCELI;PERTEK;TUNCELI;CEMISGEZEK;66
KIRIKKALE;BALISEYH;KIRIKKALE;DELICE;66
KAHRAMANMARAS;PAZARCIK;KAHRAMANMARAS;TURKOGLU;66
ISTANBUL;TUZLA;ISTANBUL;FATIH;66
USAK;ESME;USAK;BANAZ;66
ISTANBUL;BAHCELIEVLER;ISTANBUL;BEYOGLU;66
SAMSUN;SALIPAZARI;SAMSUN;BAFRA;66
IZMIR;BERGAMA;IZMIR;MENDERES;66
SINOP;ERFELEK;SINOP;BOYABAT;66
TOKAT;SULUSARAY;TOKAT;ZILE;66
TUNCELI;OVACIK/TUNCELI;TUNCELI;HOZAT;66
SANLIURFA;CEYLANPINAR;SANLIURFA;AKCAKALE;66
KAYSERI;SARIZ;KAYSERI;YESILHISAR;66
ANKARA;GUDUL;ANKARA;CUBUK;66
ANKARA;HAYMANA;ANKARA;ELMADAG;66
ADANA;SEYHAN;ADANA;IMAMOGLU;66
ISTANBUL;SARIYER;ISTANBUL;SULTANGAZI;66
ISTANBUL;PENDIK;ISTANBUL;AVCILAR;66
AMASYA;GOYNUCEK;AMASYA;MERZIFON;66
ANKARA;YENIMAHALLE;ANKARA;CUBUK;66
ANKARA;CUBUK;ANKARA;ELMADAG;66
BURSA;KELES;BURSA;ORHANELI;66
AYDIN;NAZILLI;AYDIN;CINE;66
BALIKESIR;SINDIRGI;BALIKESIR;AYVALIK;66
BARTIN;BARTIN MERKEZ;BARTIN;KURUCASILE;66
MERSIN;CAMLIYAYLA;MERSIN;ERDEMLI;66
NIGDE;NIGDE MERKEZ;NIGDE;ULUKISLA;66
DIYARBAKIR;DICLE;DIYARBAKIR;KOCAKOY;66
ORDU;CATALPINAR;ORDU;CAMAS;66
ELAZIG;BASKIL;ELAZIG;KEBAN;66
RIZE;FINDIKLI;RIZE;PAZAR/RIZE;66
MANISA;SELENDI;MANISA;KOPRUBASI/MANISA;66
ISTANBUL;BAGCILAR;ISTANBUL;SARIYER;65
ISPARTA;GONEN/ISPARTA;ISPARTA;KECIBORLU;65
MALATYA;MALATYA MERKEZ;MALATYA;ARGUVAN;65
MUGLA;MARMARIS;MUGLA;FETHIYE;65
KONYA;YUNAK;KONYA;CIHANBEYLI;65
MANISA;ALASEHIR;MANISA;SOMA;65
ELAZIG;KEBAN;ELAZIG;BASKIL;65
ISPARTA;ATABEY;ISPARTA;EGIRDIR;65
SAMSUN;BAFRA;SAMSUN;HAVZA;65
MUGLA;YATAGAN;MUGLA;KAVAKLIDERE;65
MALATYA;HEKIMHAN;MALATYA;DARENDE;65
ISPARTA;ULUBORLU;ISPARTA;KECIBORLU;65
ANKARA;MAMAK;ANKARA;AKYURT;65
TRABZON;ARSIN;TRABZON;OF;65
ADIYAMAN;ADIYAMAN MERKEZ;ADIYAMAN;SINCIK;65
ISTANBUL;GAZIOSMANPASA;ISTANBUL;BEYKOZ;65
YOZGAT;AKDAGMADENI;YOZGAT;BOGAZLIYAN;65
IZMIR;KARABAGLAR;IZMIR;ALIAGA;65
KARAMAN;ERMENEK;KARAMAN;BASYAYLA;65
KAYSERI;AKKISLA;KAYSERI;SARIOGLAN;65
BALIKESIR;GONEN/BALIKESIR;BALIKESIR;SUSURLUK;65
IZMIR;BUCA;IZMIR;FOCA;65
ISTANBUL;KARTAL;ISTANBUL;BEYOGLU;65
BURSA;MUDANYA;BURSA;INEGOL;65
KAYSERI;TALAS;KAYSERI;DEVELI;65
BURSA;ORHANELI;BURSA;MUSTAFA K.PASA;65
KONYA;EREGLI/KONYA;KONYA;CUMRA;65
ISTANBUL;SARIYER;ISTANBUL;ESENLER;65
ANTALYA;KAS;ANTALYA;DOSEMEALTI;65
ANTALYA;KAS;ANTALYA;KEMER/ANTALYA;65
BURDUR;BUCAK;BURDUR;CELTIKCI;64
KASTAMONU;KURE;KASTAMONU;DEVREKANI;64
IZMIR;SELCUK;IZMIR;MENDERES;64
ANKARA;SEREFLIKOCHISAR;ANKARA;EVREN;64
BURDUR;KARAMANLI;BURDUR;BUCAK;64
AYDIN;AYDIN MERKEZ;AYDIN;KARACASU;64
ISTANBUL;SANCAKTEPE;ISTANBUL;KADIKOY;64
KAYSERI;INCESU;KAYSERI;DEVELI;64
KARS;KARS MERKEZ;KARS;AKYAKA;64
BURSA;IZNIK;BURSA;MUDANYA;64
ARTVIN;ARTVIN MERKEZ;ARTVIN;MURGUL;64
BALIKESIR;BANDIRMA;BALIKESIR;MARMARA;64
BINGOL;BINGOL MERKEZ;BINGOL;KIGI;64
KASTAMONU;DADAY;KASTAMONU;INEBOLU;64
BALIKESIR;SINDIRGI;BALIKESIR;GONEN/BALIKESIR;64
KONYA;AKSEHIR;KONYA;DOGANHISAR;64
ISTANBUL;ZEYTINBURNU;ISTANBUL;CATALCA;64
BALIKESIR;SUSURLUK;BALIKESIR;BIGADIC;64
AYDIN;SULTANHISAR;AYDIN;INCIRLIOVA;64
ADANA;ALADAG;ADANA;POZANTI;64
ISTANBUL;AVCILAR;ISTANBUL;SARIYER;64
ADANA;YUREGIR;ADANA;KARAISALI;64
DIYARBAKIR;HANI;DIYARBAKIR;LICE;64
ESKISEHIR;SIVRIHISAR;ESKISEHIR;GUNYUZU;64
ELAZIG;PALU;ELAZIG;ARICAK;64
GAZIANTEP;SAHINBEY;GAZIANTEP;ARABAN;64
NIGDE;NIGDE MERKEZ;NIGDE;ALTUNHISAR;64
MARDIN;YESILLI;MARDIN;OMERLI;64
ORDU;GOLKOY;ORDU;AYBASTI;64
TUNCELI;PERTEK;TUNCELI;MAZGIRT;64
KUTAHYA;ALTINTAS;KUTAHYA;GEDIZ;64
RIZE;RIZE MERKEZ;RIZE;IYIDERE;64
TUNCELI;TUNCELI MERKEZ;TUNCELI;PULUMUR;64
TOKAT;NIKSAR;TOKAT;ZILE;64
TOKAT;ALMUS;TOKAT;ZILE;64
SAMSUN;VEZIRKOPRU;SAMSUN;ONDOKUZMAYIS;64
MANISA;TURGUTLU;MANISA;SOMA;63
USAK;USAK MERKEZ;USAK;KARAHALLI;63
MALATYA;DARENDE;MALATYA;YAZIHAN;63
TRABZON;TRABZON MERKEZ;TRABZON;SURMENE;63
RIZE;CAMLIHEMSIN;RIZE;CAYELI;63
ANKARA;KALECIK;ANKARA;KAZAN;63
ANKARA;KIZILCAHAMAM;ANKARA;ELMADAG;63
ORDU;ORDU MERKEZ;ORDU;GOLKOY;63
SAKARYA;FERIZLI;SAKARYA;HENDEK;63
ISTANBUL;BUYUKCEKMECE;ISTANBUL;BAYRAMPASA;63
KASTAMONU;TASKOPRU;KASTAMONU;HANONU;63
ADIYAMAN;BESNI;ADIYAMAN;KAHTA;63
ANKARA;ELMADAG;ANKARA;CUBUK;63
ISTANBUL;CEKMEKOY;ISTANBUL;BEYLIKDUZU;63
ANTALYA;GUNDOGMUS;ANTALYA;KEMER/ANTALYA;63
ISTANBUL;UMRANIYE;ISTANBUL;BAKIRKOY;63
ANTALYA;AKSU;ANTALYA;ALANYA;63
KASTAMONU;AZDAVAY;KASTAMONU;PINARBASI/KASTAMONU;63
KAYSERI;KOCASINAN;KAYSERI;PINARBASI/KAYSERI;63
IZMIR;BUCA;IZMIR;ODEMIS;63
ANTALYA;MURATPASA;ANTALYA;IBRADI;63
IZMIR;FOCA;IZMIR;BERGAMA;63
BURSA;ORHANELI;BURSA;HARMANCIK;63
KARS;ARPACAY;KARS;SUSUZ;63
KASTAMONU;DADAY;KASTAMONU;ARAC;63
GIRESUN;KESAP;GIRESUN;DERELI;63
ISPARTA;SUTCULER;ISPARTA;KECIBORLU;63
ERZURUM;ERZURUM MERKEZ;ERZURUM;HORASAN;63
GIRESUN;GIRESUN MERKEZ;GIRESUN;PIRAZIZ;63
ANTALYA;AKSEKI;ANTALYA;IBRADI;62
ARTVIN;SAVSAT;ARTVIN;YUSUFELI;62
ISTANBUL;ADALAR;ISTANBUL;BEYLIKDUZU;62
ISTANBUL;BAGCILAR;ISTANBUL;BESIKTAS;62
ISPARTA;KECIBORLU;ISPARTA;EGIRDIR;62
DUZCE;GOLYAKA;DUZCE;AKCAKOCA;62
ESKISEHIR;ODUNPAZARI;ESKISEHIR;INONU;62
BURSA;MUDANYA;BURSA;KESTEL;62
GUMUSHANE;KELKIT;GUMUSHANE;SIRAN;62
ERZURUM;AZIZIYE;ERZURUM;ISPIR;62
CANKIRI;CERKES;CANKIRI;KURSUNLU;62
DUZCE;CILIMLI;DUZCE;GOLYAKA;62
ANKARA;GOLBASI/ANKARA;ANKARA;CUBUK;62
HATAY;HASSA;HATAY;REYHANLI;62
ANKARA;CAMLIDERE;ANKARA;CUBUK;62
NEVSEHIR;ACIGOL;NEVSEHIR;GULSEHIR;62
MANISA;MANISA MERKEZ;MANISA;DEMIRCI;62
MANISA;MANISA MERKEZ;MANISA;KIRKAGAC;62
SIVAS;SUSEHRI;SIVAS;AKINCILAR;62
SANLIURFA;BIRECIK;SANLIURFA;BOZOVA;62
SAKARYA;SOGUTLU;SAKARYA;HENDEK;62
SANLIURFA;HILVAN;SANLIURFA;BOZOVA;62
MANISA;GORDES;MANISA;ALASEHIR;62
VAN;CALDIRAN;VAN;OZALP;62
SANLIURFA;VIRANSEHIR;SANLIURFA;HILVAN;62
MALATYA;AKCADAG;MALATYA;BATTALGAZI;62
MUGLA;BODRUM;MUGLA;MARMARIS;62
MANISA;SELENDI;MANISA;SOMA;62
IZMIR;CIGLI;IZMIR;FOCA;62
KONYA;AKSEHIR;KONYA;BEYSEHIR;62
ISTANBUL;BAKIRKOY;ISTANBUL;ARNAVUTKOY;62
ISTANBUL;UMRANIYE;ISTANBUL;BESIKTAS;62
IZMIR;MENEMEN;IZMIR;DIKILI;62
IZMIR;BUCA;IZMIR;KEMALPASA;62
IZMIR;TORBALI;IZMIR;GUZELBAHCE;62
IZMIR;BEYDAG;IZMIR;GAZIEMIR;62
IZMIR;ALIAGA;IZMIR;BALCOVA;62
IZMIR;BALCOVA;IZMIR;SEFERIHISAR;62
ISTANBUL;MALTEPE;ISTANBUL;BAHCELIEVLER;62
MANISA;AKHISAR;MANISA;DEMIRCI;61
ORDU;ULUBEY/ORDU;ORDU;FATSA;61
IZMIR;MENDERES;IZMIR;ODEMIS;61
ISTANBUL;GUNGOREN;ISTANBUL;BEYOGLU;61
ISTANBUL;BEYLIKDUZU;ISTANBUL;FATIH;61
OSMANIYE;KADIRLI;OSMANIYE;BAHCE;61
MERSIN;MEZITLI;MERSIN;TARSUS;61
IZMIR;KIRAZ;IZMIR;BAYINDIR;61
KOCAELI;KORFEZ;KOCAELI;CAYIROVA;61
IZMIR;NARLIDERE;IZMIR;GAZIEMIR;61
MERSIN;ERDEMLI;MERSIN;GULNAR;61
ISTANBUL;ESENLER;ISTANBUL;USKUDAR;61
SAKARYA;SERDIVAN;SAKARYA;SAPANCA;61
IZMIR;KARSIYAKA;IZMIR;KARABURUN;61
ISTANBUL;PENDIK;ISTANBUL;BEYLIKDUZU;61
KONYA;SARAYONU;KONYA;SEYDISEHIR;61
RIZE;KALKANDERE;RIZE;DEREPAZARI;61
RIZE;RIZE MERKEZ;RIZE;FINDIKLI;61
ANKARA;KAZAN;ANKARA;GOLBASI/ANKARA;61
SAKARYA;AKYAZI;SAKARYA;PAMUKOVA;61
AGRI;PATNOS;AGRI;HAMUR;61
SAKARYA;ERENLER;SAKARYA;KARASU;61
ANTALYA;MANAVGAT;ANTALYA;KUMLUCA;61
ANKARA;SEREFLIKOCHISAR;ANKARA;CUBUK;61
ANKARA;AYAS;ANKARA;KAZAN;61
ADANA;KARAISALI;ADANA;KOZAN;61
ISTANBUL;ATASEHIR;ISTANBUL;FATIH;61
ISTANBUL;ATASEHIR;ISTANBUL;KUCUKCEKMECE;61
BURSA;MUSTAFA K.PASA;BURSA;ORHANGAZI;61
BALIKESIR;BANDIRMA;BALIKESIR;AYVALIK;61
BOLU;BOLU MERKEZ;BOLU;SEBEN;61
GAZIANTEP;OGUZELI;GAZIANTEP;NURDAGI;61
BOLU;GOYNUK;BOLU;MUDURNU;61
ANTALYA;DOSEMEALTI;ANTALYA;ALANYA;61
SANLIURFA;SANLIURFA MERKEZ;SANLIURFA;HALFETI;61
DENIZLI;DENIZLI MERKEZ;DENIZLI;GUNEY;61
DENIZLI;DENIZLI MERKEZ;DENIZLI;CARDAK;61
HATAY;KIRIKHAN;HATAY;YAYLADAG;61
DENIZLI;HONAZ;DENIZLI;CAL;61
ANTALYA;KORKUTELI;ANTALYA;DEMRE;60
CANKIRI;YAPRAKLI;CANKIRI;CERKES;60
BURSA;HARMANCIK;BURSA;MUDANYA;60
TRABZON;YOMRA;TRABZON;MACKA;60
CANKIRI;CANKIRI MERKEZ;CANKIRI;ORTA;60
AKSARAY;AKSARAY MERKEZ;AKSARAY;AGACOREN;60
IZMIR;KEMALPASA;IZMIR;BERGAMA;60
AFYONKARAHISAR;DINAR;AFYONKARAHISAR;EVCILER;60
IZMIR;MENDERES;IZMIR;KEMALPASA;60
KASTAMONU;AGLI;KASTAMONU;SEYDILER;60
IZMIR;BERGAMA;IZMIR;GUZELBAHCE;60
ADANA;POZANTI;ADANA;SARICAM;60
ISTANBUL;GUNGOREN;ISTANBUL;SULTANGAZI;60
ISTANBUL;BEYOGLU;ISTANBUL;CATALCA;60
ISTANBUL;UMRANIYE;ISTANBUL;GUNGOREN;60
KIRKLARELI;KIRKLARELI MERKEZ;KIRKLARELI;DEMIRKOY;60
