from_city;from_district;to_city;sum
ADANA;FEKE;SAMSUN;23
ADANA;FEKE;SANLIURFA;60
ADANA;FEKE;SIIRT;14
ADANA;FEKE;SINOP;15
ADANA;FEKE;SIRNAK;25
ADANA;FEKE;SIVAS;26
ADANA;FEKE;TEKIRDAG;33
ADANA;FEKE;TOKAT;5
ADANA;FEKE;TRABZON;14
ADANA;FEKE;TUNCELI;8
ADANA;FEKE;USAK;24
ADANA;FEKE;VAN;19
ADANA;FEKE;YALOVA;7
ADANA;FEKE;YOZGAT;10
ADANA;FEKE;ZONGULDAK;15
ADANA;IMAMOGLU;ADIYAMAN;36
ADANA;IMAMOGLU;AFYONKARAHISAR;21
ADANA;IMAMOGLU;AGRI;16
ADANA;IMAMOGLU;AKSARAY;22
ADANA;IMAMOGLU;AMASYA;12
ADANA;IMAMOGLU;ANKARA;328
ADANA;IMAMOGLU;ANTALYA;323
ADANA;IMAMOGLU;ARDAHAN;3
ADANA;IMAMOGLU;ARTVIN;3
ADANA;IMAMOGLU;AYDIN;116
ADANA;IMAMOGLU;BALIKESIR;74
ADANA;IMAMOGLU;BARTIN;1
ADANA;IMAMOGLU;BATMAN;35
ADANA;IMAMOGLU;BAYBURT;4
ADANA;IMAMOGLU;BILECIK;9
ADANA;IMAMOGLU;BINGOL;22
ADANA;IMAMOGLU;BITLIS;16
ADANA;IMAMOGLU;BOLU;18
ADANA;IMAMOGLU;BURDUR;6
ADANA;IMAMOGLU;BURSA;342
ADANA;IMAMOGLU;CANAKKALE;44
ADANA;IMAMOGLU;CORUM;4
ADANA;IMAMOGLU;DENIZLI;18
ADANA;IMAMOGLU;DIYARBAKIR;33
ADANA;IMAMOGLU;DUZCE;17
ADANA;IMAMOGLU;EDIRNE;13
ADANA;IMAMOGLU;ELAZIG;29
ADANA;IMAMOGLU;ERZINCAN;9
ADANA;IMAMOGLU;ERZURUM;37
ADANA;IMAMOGLU;ESKISEHIR;68
ADANA;IMAMOGLU;GAZIANTEP;123
ADANA;IMAMOGLU;GIRESUN;10
ADANA;IMAMOGLU;GUMUSHANE;7
ADANA;IMAMOGLU;HAKKARI;19
ADANA;IMAMOGLU;HATAY;316
ADANA;IMAMOGLU;IGDIR;10
ADANA;IMAMOGLU;ISPARTA;17
ADANA;IMAMOGLU;ISTANBUL;927
ADANA;IMAMOGLU;IZMIR;290
ADANA;IMAMOGLU;KAHRAMANMARAS;124
ADANA;IMAMOGLU;KARABUK;19
ADANA;IMAMOGLU;KARAMAN;15
ADANA;IMAMOGLU;KARS;7
ADANA;IMAMOGLU;KASTAMONU;6
ADANA;IMAMOGLU;KAYSERI;150
ADANA;IMAMOGLU;KILIS;14
ADANA;IMAMOGLU;KIRIKKALE;7
ADANA;IMAMOGLU;KIRKLARELI;67
