address_city;address_district;count
GUMUSHANE;GUMUSHANE MERKEZ;26028
BALIKESIR;ERDEK;25887
HATAY;ERZIN;25648
ISPARTA;EGIRDIR;25587
AMASYA;TASOVA;25518
ARDAHAN;ARDAHAN MERKEZ;25468
IZMIR;SELCUK;25332
NEVSEHIR;AVANOS;25330
SAKARYA;SAPANCA;25290
BOLU;GEREDE;25211
YOZGAT;BOGAZLIYAN;25200
NEVSEHIR;URGUP;25186
KOCAELI;DILOVASI;25051
CANAKKALE;BAYRAMIC;25028
ANKARA;SEREFLIKOCHISAR;24960
VAN;MURADIYE;24912
ORDU;GOLKOY;24887
MANISA;GORDES;24846
KAYSERI;YAHYALI;24844
CANAKKALE;EZINE;24714
AFYONKARAHISAR;CAY;24668
SAKARYA;ARIFIYE;24584
SANLIURFA;HALFETI;24547
ERZURUM;HORASAN;24178
ANKARA;NALLIHAN;24172
ANKARA;KAZAN;24090
CANAKKALE;AYVACIK/CANAKKALE;23840
ANKARA;HAYMANA;23800
TEKIRDAG;SARKOY;23510
ARTVIN;ARTVIN MERKEZ;23435
RIZE;PAZAR/RIZE;23276
MUGLA;DALAMAN;23214
MUGLA;KOYCEGIZ;23202
EDIRNE;IPSALA;23019
KONYA;KADINHANI;22991
ELAZIG;KOVANCILAR;22909
KAYSERI;BUNYAN;22839
KIRKLARELI;VIZE;22704
ARTVIN;HOPA;22678
ANTALYA;KEMER/ANTALYA;22623
IZMIR;DIKILI;22615
MERSIN;GULNAR;22519
IZMIR;CESME;22489
DENIZLI;SARAYKOY;22354
GIRESUN;GORELE;22336
GAZIANTEP;NURDAGI;22310
KARAMAN;ERMENEK;22209
KONYA;BOZKIR;22035
DIYARBAKIR;DICLE;22019
ORDU;KUMRU;21976
GIRESUN;ESPIYE;21718
AGRI;DIYADIN;21694
ERZURUM;OLTU;21628
ORDU;KORGAN;21591
GIRESUN;TIREBOLU;21534
AGRI;ELESKIRT;21533
SAMSUN;ALACAM;21526
MALATYA;YESILYURT/MALATYA;21523
CANKIRI;CERKES;21416
ISPARTA;SARKIKARAAGAC;21409
HAKKARI;SEMDINLI;21397
AYDIN;YENIPAZAR/AYDIN;21344
ORDU;AKKUS;21254
MALATYA;DARENDE;21054
CANKIRI;ILGAZ;20974
ADANA;IMAMOGLU;20939
TRABZON;YOMRA;20850
CANAKKALE;LAPSEKI;20797
KAYSERI;PINARBASI/KAYSERI;20507
BITLIS;ADILCEVAZ;20493
BALIKESIR;HAVRAN;20437
DENIZLI;BULDAN;20419
BITLIS;GUROYMAK;20385
TOKAT;ALMUS;20323
IZMIR;KINIK;20275
SANLIURFA;HILVAN;20183
DENIZLI;HONAZ;20134
TRABZON;SURMENE;19990
SIVAS;GEMEREK;19937
AYDIN;KARPUZLU;19804
VAN;GURPINAR;19754
AMASYA;GUMUSHACIKOY;19648
TRABZON;VAKFIKEBIR;19616
TEKIRDAG;MURATLI;19593
MUS;VARTO;19544
MALATYA;AKCADAG;19513
AFYONKARAHISAR;IHSANIYE;19484
ARDAHAN;GOLE;19450
BALIKESIR;KEPSUT;19411
BITLIS;AHLAT;19403
BITLIS;HIZAN;19367
ANKARA;KIZILCAHAMAM;19246
KONYA;YUNAK;19231
ELAZIG;KARAKOCAN;19213
